"source";"translation";"type";"module";"status";"customer"
"Extra data 1";"Ekstra podaci 1";"B";"";"T";"N"
"Extra data 2";"Ekstra podaci 2";"B";"";"T";"N"
"Extra data 3";"Ekstra podaci 3";"S";"";"T";"N"
"Extra data 4";"Ekstra podaci 4";"S";"";"T";"N"
"Extra data 5";"Ekstra podaci 5";"S";"";"T";"N"
"Merchant note";"Trgovci pažnja";"B";"";"T";"N"
"Banner name";"Ime bannera";"B";"";"T";"N"
"Banner preview";"Pregled Banera";"S";"";"T";"N"
"Campaign";"Kampanja";"B";"";"T";"N"
"Target URL";"Ciljani URL";"B";"";"T";"N"
"Banner type";"Vrsta banera";"S";"";"T";"N"
"Html data is not defined";"Html podaci nisu definisani";"S";"";"T";"N"
"File name is not defined";"Ime fajla nije određeno";"S";"";"T";"N"
"unknown";"Nepoznato";"B";"";"T";"N"
"approved";"Odobreno";"B";"";"T";"N"
"pending";"Na čekanju";"B";"";"T";"N"
"User Id";"Id Korisnika ";"S";"";"T";"N"
"Payment date";"Datum plaćanja";"S";"";"T";"N"
"Username";"Korisničko ime ";"B";"";"T";"N"
"Amount";"Iznos";"B";"";"T";"N"
"Note to affiliate";"Korisnici Pažnja";"S";"";"T";"N"
"Original currency ID";"ID originalne valute";"S";"";"T";"N"
"Original currency rate";"Kurs originalne valute";"S";"";"T";"N"
"Original currency value";"Vrednost originalne valute";"S";"";"T";"N"
"System note";"Sistemska beleška";"B";"";"T";"N"
"Country code";"Kod države";"B";"";"T";"N"
"Affiliate first name";"Ime partnera";"S";"";"T";"N"
"Affiliate last name";"Prezime partnera";"S";"";"T";"N"
"3rd party cookie";"Kolačić treće strane";"B";"";"T";"N"
"1st party cookie";"kolačić 1. strane";"B";"";"T";"N"
"Flash cookie";"Fleš kolačić";"B";"";"T";"N"
"Forced parameter";"Primorani parametar";"B";"";"T";"N"
"IP address";"IP adresa";"B";"";"T";"N"
"Default affiliate";"Osnovni partner";"B";"";"T";"N"
"Url";"URL";"B";"";"N";"N"
"Note";"Pažnja";"B";"";"T";"N"
"Status does not have allowed value";"Status nema dozvoljenu vrednost";"S";"";"T";"N"
"Selected username already exists";"Izabrano korisničko ime već postoji";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Promena statusa nije uspela za korisnika(e) %s";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Status korisnika  %s je uspešno promenjen";"S";"";"T";"N"
"Password";"Lozinka";"B";"";"T";"N"
"Title must be unique";"Naziv mora biti jedinstven";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Izabrani stariji partner ne postoji";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Učitavanje fajla %s nije uspelo. Greška: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Trgovac - Nova registracija korisnika";"B";"";"T";"N"
"New user signed up";"Novi korisnik je registrovan";"B";"";"T";"N"
"Email subject";"Tema Emaila";"S";"";"T";"N"
"Email text";"Email tekst";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Trgovac - Partner je popunio formu za kontakt";"B";"";"T";"N"
"Affiliate filled Contact us form";"Partner je popunio Kontakt formu";"B";"";"T";"N"
"Merchant - New Sale / Lead";"Trgovac - Nova Prodaja / Postupak";"B";"";"T";"N"
"New sale / lead";"Nova prodaja / postupak";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Partner - Novo učlanjenje korisnika odobreno";"B";"";"T";"N"
", welcome to our affiliate program";", dobrodošli u naš partnerski program";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Partner - Novo učlanjenje korisnika pre odobrenja";"B";"";"T";"N"
"Paid amount";"Plaćeni iznos";"S";"";"T";"N"
"Paid currency";"Isplaćena valuta";"S";"";"T";"N"
"Payout method";"Metod isplate";"B";"";"T";"N"
"Affiliate - On payout";"Partner - Po isplati";"B";"";"T";"N"
"Your commissions";"Vaše provizije";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Partner - Nova podpartner Prodaja / Postupak";"B";"";"T";"N"
"New subaffiliate sale / lead";"Nova pod-partner prodaja / postupak";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Partner - Novo podpartner učlanjenje";"B";"";"T";"N"
"New subaffiliate signed up";"Registrovan je novi pod-partner";"B";"";"T";"N"
"VAT percentage";"PDV procenat";"B";"";"T";"N"
"VAT number";"PDV broj";"B";"";"T";"N"
"Registration number";"Registracioni broj";"B";"";"T";"N"
"VAT part";"PDV deo";"B";"";"T";"N"
"Payment incl. VAT";"Plaćanje sa PDVom";"B";"";"T";"N"
"Payment excl. VAT";"Plaćanje bez PDVa";"B";"";"T";"N"
"Affiliate - On VAT payout";"Partner - Po PDV isplati";"B";"";"T";"N"
"Transaction ID";"ID Transakcije";"B";"";"T";"N"
"TotalCost";"Ukupna cena";"S";"";"T";"N"
"Campaign ID";"ID Kampanje";"S";"";"T";"N"
"Referer URL";"URL Referera";"S";"";"T";"N"
"First click - time";"Prvi klik - vreme";"S";"";"T";"N"
"First click - referer";"Prvi klik - izvor";"S";"";"T";"N"
"First click - IP";"Prvi klik - IP";"S";"";"T";"N"
"First click - data1";"Prvi klik - podatak1";"S";"";"T";"N"
"First click - data2";"Prvi klik - podatak2";"S";"";"T";"N"
"Last click - time";"Zadnjki klik - vreme";"S";"";"T";"N"
"Last click - referer";"Zadnjki klik - izvor";"S";"";"T";"N"
"Last click - IP";"Zadnjki klik - IP";"S";"";"T";"N"
"Last click - data1";"Zadnjki klik - podatak1";"S";"";"T";"N"
"Last click - data2";"Zadnjki klik - podatak2";"S";"";"T";"N"
"Transaction data1";"Transakcija podatak1";"S";"";"T";"N"
"Transaction data2";"Transakcija podatak2";"S";"";"T";"N"
"Transaction data3";"Transakcija podatak3";"S";"";"T";"N"
"Transaction data4";"Transakcija podatak4";"S";"";"T";"N"
"Transaction data5";"Transakcija podatak5";"S";"";"T";"N"
"Note to merchant";"Trgovci Pažnja";"S";"";"T";"N"
"Original currency";"Originalna valuta";"S";"";"T";"N"
"Banner does not exist";"Baner ne postoji";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"Greška servera: Nepoznat tip dat za BannerForm._save()";"S";"";"T";"N"
"Banner was saved";"Baner je sačuvan";"S";"";"T";"N"
"Clicks";"klikovi";"B";"";"T";"N"
"CTR";"CTR";"S";"";"N";"N"
"Order";"Porudžbina";"B";"";"T";"N"
"BannersImportExportDescription";"Definicije banera – skrećemo pažnju da je ovaj  uvoz/izvoz samo za definicije, ne podrazumeva fizički fajlove i slike";"B";"";"T";"N"
"Campaign does not exist";"Kampanja ne postoji";"S";"";"T";"N"
"Campaign capping saved";"Glavni opis kampanje je sačuvan";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"Broj transakcija u trajanju kampanje 'Aktivno do'  mora biti određen";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"Nedostaju Od i Za podaci za 'Aktivni u vremenskom periodu' važeće kampanje";"S";"";"T";"N"
"Commission successfully computed";"Provizija je uspešno obračunata";"S";"";"T";"N"
"User is not valid!";"Korisnik nije ispravan!";"S";"";"T";"N"
"Campaign is not valid!";"Kampanja nije važeća!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"Vrsta transakcije nije ispravna ili ne postoji u ovoj kampanji!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"Za ovog korisnika u kampanji nije prepoznata grupa provizije!";"S";"";"T";"N"
"Error getting commission settings!";"Greška u pozivanju podešavanja provizija!";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"Greška, za procentualnu proviziju morate da definišete ukupnu krajnju cenu!";"S";"";"T";"N"
"You cannot delete default campaign";"Ne možete obrisati osnovnu kampanju";"S";"";"T";"N"
"Default";"Osnovno";"B";"";"T";"N"
"per sale / lead";"po prodaji / postupku";"B";"";"T";"N"
"CampaignsImportExportDescription";" Podešavanja kampanja i njihovih provizija";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"Učitane Provizije Grupe: IdKampanje nije definisan";"S";"";"T";"N"
"Campaign ID cannot be empty!";"ID kampanje ne može biti prazan!";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"ProvizijaVrstaId (Id) nemože biti prazno!";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"ProvizijaGrupaId ne može biti prazno!";"S";"";"T";"N"
"Commission type does not exist";"Vrsta provizije ne postoji";"S";"";"T";"N"
"Commissions saved successfully";"Provizija uspešno sačuvana";"S";"";"T";"N"
"Field 'type' does not exist";"Polje 'vrsta' ne postoji";"S";"";"T";"N"
"Failed to change status";"Promena statusa nije uspela";"S";"";"T";"N"
"Status successfully changed";"Status je uspešno promenjen";"S";"";"T";"N"
"CommissionsImportExportDescription";"Provizije (transakcije, narudžbine) koje je sistem registrovao";"B";"";"T";"N"
"Affiliate screen";"Ekran partnera";"S";"";"T";"N"
"Affiliate panel menu saved";"Partner panel Meni je sačuvan";"S";"";"T";"N"
"Error changing default theme";"Greška prilikom promene osnovne teme";"S";"";"T";"N"
"Default theme changed";"Osnovna tema je promenjena";"S";"";"T";"N"
"Program name and logo saved";"Ime programa i logo su sačuvani";"S";"";"T";"N"
"Affiliate signup settings saved";"Podešavanja registracije partnera su sačuvana";"S";"";"T";"N"
"Banner format successfully saved";"Format bannera je uspešno sačuvan";"S";"";"T";"N"
"Cookies settings saved";"Podešavanja kolačića su sačuvana";"S";"";"T";"N"
"Symbol";"Simbol";"B";"";"T";"N"
"Precision";"Tačnost";"B";"";"T";"N"
"Where to display";"Gde da se prikaže";"B";"";"T";"N"
"Exchange rate";"Odnos razmene";"S";"";"T";"N"
"Currency";"Valuta";"B";"";"T";"N"
"Fraud protections saved";"Zaštita od prevara sačuvana";"S";"";"T";"N"
"Logging saved";"Sačuvani Logovi";"S";"";"T";"N"
"Parameter names saved";"Imena parametara sačuvana";"S";"";"T";"N"
"Tracking saved";"Praćenja sačuvana";"S";"";"T";"N"
"Affiliates successfully paid";"Partner je uspešno isplaćen";"S";"";"T";"N"
"Email";"email";"B";"";"T";"N"
"VAT";"PDV";"S";"";"T";"N"
"To pay";"Za isplatu";"S";"";"T";"N"
"Declined";"Poništeno";"B";"";"T";"N"
"Minimum payout";"Minimalna isplata";"S";"";"T";"N"
"Payout data";"Podaci isplate";"B";"";"T";"N"
"N/A";"N/D";"S";"";"T";"N"
"New payout option";"Nova opcija isplate";"S";"";"T";"N"
"New payout option %s";"Nova opcija isplate %s";"S";"";"T";"N"
"Payout option";"Opcija isplate";"B";"";"T";"N"
"Payout history";"Istorija plaćanja";"B";"";"T";"N"
"Date paid";"Datum plaćanja ";"S";"";"T";"N"
"Payees";"primaoci";"S";"";"T";"N"
"Total amount";"Ukupan iznos";"S";"";"T";"N"
"Affiliate note";"Partneri pažnja";"B";"";"T";"N"
"Date";"Datum";"B";"";"T";"N"
"Data 1";"Podatak 1";"B";"";"T";"N"
"Data 2";"Podatak 2";"B";"";"T";"N"
"Clicks unique";"Jedinstveni klikovi";"S";"";"T";"N"
"Impressions unique";"Jedinstvena prikazivanja";"S";"";"T";"N"
"Table name";"Ime tabele";"S";"";"T";"N"
"Records";"Zapisi";"S";"";"T";"N"
"Total size";"Ukupna veličina";"S";"";"T";"N"
"Data size";"Veličina podataka";"S";"";"T";"N"
"Index size";"Veličina indeksa";"S";"";"T";"N"
"Transaction";"Transakcija";"B";"";"T";"N"
"Payout status";"Status isplate";"B";"";"T";"N"
"Data 3";"Podatak 3";"B";"";"T";"N"
"Data 4";"Podatak 4";"B";"";"T";"N"
"Data 5";"Podatak 5";"B";"";"T";"N"
"Tracked by";"Praćenje po";"B";"";"T";"N"
"Time";"Vreme";"B";"";"T";"N"
"Click data 1";"Klik podatak 1";"B";"";"T";"N"
"Click data 2";"Klik podatak 2";"B";"";"T";"N"
"unpaid";"Neisplaćeno";"B";"";"T";"N"
"Username must be valid email address";"Korisničko ime mora biti ispravna email adresa";"S";"";"T";"N"
"You have to agree with terms & conditions";"Morate se složiti sa Uslovima i Odredbama";"B";"";"T";"N"
"Payout settings saved";"Podešavanja isplata su sačuvana";"S";"";"T";"N"
"Affiliate details";"Detalji partnera";"B";"";"T";"N"
"Date joined";"Datum registracije";"B";"";"T";"N"
"Date approved";"Datum odobrenja";"B";"";"T";"N"
"Parent";"Stariji";"S";"";"T";"N"
"Firstname";"Ime";"B";"";"T";"N"
"Lastname";"Prezimr";"B";"";"T";"N"
"Parent ID";"Stariji ID";"S";"";"T";"N"
