"source";"translation";"type";"module";"status";"customer"
"Status does not have allowed value";"Statusam nepiemīt atļautā vērtība";"S";"";"T";"N"
"Selected username already exists";"IIzvēlētais lietotājvārds jau eksistē";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Neizdevās nomainīt statusu %s lietotājam(iem)";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Statuss veiksmīgi nomainīts %s lietotājam(iem)";"S";"";"T";"N"
"Password";"Parole";"B";"";"T";"Y"
"Title must be unique";"Virsrakstam jābūt unikālam";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Izvēlētā ""parent"" afilāte neeksistē";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Neizdevās ielādēt failu %s sekojošā kļūda: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Tirgotājs - Jauna lietotāja reģistrācija";"B";"";"T";"Y"
"New user signed up";"Piereģistrējies jauns lietotājs";"B";"";"T";"Y"
"Email subject";"E-pasta tēma";"S";"";"T";"N"
"Email text";"E-pasta teksts";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Tirgotājam - Partneris aizpildīja Sazinieties ar mums veidlapu";"B";"";"T";"Y"
"Affiliate filled Contact us form";"Partneris aizpildīja Sazinieties ar mums veidlapu";"B";"";"T";"Y"
"Merchant - New Sale / Lead";"Tirgotājs - Jauna pārdošana / Piesaiste";"B";"";"T";"Y"
"New sale / lead";"Jauna pārdošana / Piesaiste";"B";"";"T";"Y"
"Affiliate - New User Signup Approved";"Partnerim - Jauna lietotāja reģistrācija apstirpināta";"B";"";"T";"Y"
"Affiliate - New User Signup Before Approval";"Partnerim - Jauna lietotāja reģistrācija pirms apstiprināšanas";"B";"";"T";"Y"
"Paid amount";"Samaksātais apjoms";"S";"";"T";"N"
"Paid currency";"Samaksātā valūta";"S";"";"T";"N"
"Payout method";"Izmaksas metode";"B";"";"T";"Y"
"Affiliate - On payout";"Afilātei - Uz izmaksu";"B";"";"T";"Y"
"Your commissions";"Jūsu komisijas";"B";"";"T";"Y"
