"source";"translation";"type";"module";"status";"customer"
"User is not valid!";"Neplatný uživatel!";"S";"";"T";"N"
"Campaign is not valid!";"Neplatná kampaň!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"Typ transakce je neplatný nebo neexistuje v této kampani!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"Nelze rozpoznat skupinu zakázek pro tohoto uživatele v kampani!";"S";"";"T";"N"
"Error getting commission settings!";"Chyba při získávání nastavení provize!";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"Chyba ve výpočtu procent provizí. Musíte definovat celkovou sumu!";"S";"";"T";"N"
"You cannot delete default campaign";"Nelze vymazat výchozí kampaň";"S";"";"T";"N"
"Default";"Výchozí";"B";"";"T";"N"
"per sale / lead";"Prodejem / leadem (návštěvník na sebe zanechal kontakt) ";"B";"";"T";"N"
"CampaignsImportExportDescription";"Nastavení množství pro kampaně a jejich provize";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"loadCommissionGroups: ID kampaně je prázdné";"S";"";"T";"N"
"Campaign ID cannot be empty!";"ID kampaně nesmí být prázdné!";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"CommissionTypeId (Id) nemůže být prázdné!";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"CommissionGroupId nemůže být prázdné!";"S";"";"T";"N"
"Commission type does not exist";"Typ provize neexistuje";"S";"";"T";"N"
"Commissions saved successfully";"Provize úspěšně uložena";"S";"";"T";"N"
"Field 'type' does not exist";"Pole 'type' neexistuje";"S";"";"T";"N"
"Failed to change status";"Nepodařilo se změnit status";"S";"";"T";"N"
"Status successfully changed";"Status úspěšně změněn";"S";"";"T";"N"
"CommissionsImportExportDescription";"Provize (transakce, pořadí) registrované systémem";"B";"";"T";"N"
"Affiliate screen";"Partnerská obrazovka";"S";"";"T";"N"
"Affiliate panel menu saved";"Menu partnerského panelu uloženo";"S";"";"T";"N"
"Error changing default theme";"Chyba při změně výchozího motivu";"S";"";"T";"N"
"Default theme changed";"Výchozí motiv změněn";"S";"";"T";"N"
"Program name and logo saved";"Jméno a logo programu změněno";"S";"";"T";"N"
"Affiliate signup settings saved";"Nastavení přihlašování partnerů uloženo";"S";"";"T";"N"
"Banner format successfully saved";"Formát banneru úspěšně uložen";"S";"";"T";"N"
"Cookies settings saved";"Nastavení cookies uloženo";"S";"";"T";"N"
