"source";"translation";"type";"module";"status";"customer"
"Failed to read headers of CSF file %s";"קריאת כותרות נכשלה עבור קובץ CSF %s";"S";"";"T";"N"
"Could not change permissions %s";"לא ניתן לשנות הרשאות %s";"S";"";"T";"N"
"Could not open file";"לא ניתן לפתוח קובץ";"S";"";"T";"N"
"Could not read file";"לא ניתן לקרוא קובץ";"S";"";"T";"N"
"Rewind unsupported in this file stream";"הרץ לאחור את מה שלא נתמך בקובץ זה";"S";"";"T";"N"
"File %s does not exist.";"קובץ %s לא קיים";"S";"";"T";"N"
"Failed to read file %s";"לא ניתן לקרוא את הקובץ %s";"S";"";"T";"N"
"Could not create directory %s";"לא ניתן לצור סיפריה %s";"S";"";"T";"N"
"Level";"שלב";"S";"";"T";"N"
"Message";"הודעה";"B";"";"T";"N"
"File";"קובץ";"S";"";"T";"N"
"Line";"קו";"B";"";"T";"N"
"Group ID";"מזהה קבוצה";"B";"";"T";"N"
"Log event";"יומן אירועים";"S";"";"T";"N"
"Event(s) are deleted";"אירוע/ים נמחקו";"S";"";"T";"N"
"No event(s) to delete";"אין אירוע/ים למחוק";"S";"";"T";"N"
"Debug event(s) are deleted";"אירועי דיבאג נמחקו";"S";"";"T";"N"
"No debug event(s) to delete";"אין אירועי דיבאג למחוק";"S";"";"T";"N"
"Mail Account Name";"שם חשבון דואר";"S";"";"T";"N"
"From Name";"מאת (שם)";"B";"";"T";"N"
"From Email";"מאת (אימייל)";"S";"";"T";"N"
"Use SMTP protocol";"השתמש בפרוטוקול SMTP";"S";"";"T";"N"
"SMTP Server";"שרת SMTP";"B";"";"T";"N"
"SMTP Port";"פורט SMTP";"B";"";"T";"N"
"SMTP Authentication";"אימות SMTP";"S";"";"T";"N"
"Use SSL connection";"השתמש בחיבור SSL";"S";"";"T";"N"
