"source";"translation";"type";"module";"status";"customer"
"Server error: Unknown type given for BannerForm._save()";"Error en el servidor: Tipo desconocido para BannerForm._save()";"S";"";"T";"N"
"Banner was saved";"El banner fue guardado";"S";"";"T";"N"
"Clicks";"Clicks";"B";"";"T";"N"
"CTR";"CTR";"S";"";"T";"N"
"Order";"Orden";"B";"";"T";"N"
"BannersImportExportDescription";"La nota en  – (Banners definition )se relaciona solo con la definición de importar/exportar, no con la imagen o el archivo";"B";"";"T";"N"
"Campaign does not exist";"La campaña no existe";"S";"";"T";"N"
"Campaign capping saved";"Campaña guardada";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"Se debe establecer el número de transacciones en 'Activo hasta' en la validez de la campaña ";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"Falta “De” y “Hasta” en la forma de validez de la campaña en 'Activar en el rango de fechas'";"S";"";"T";"N"
"Commission successfully computed";"La comisión fue calculada";"S";"";"T";"N"
"User is not valid!";"Usuario no válido!";"S";"";"T";"N"
"Campaign is not valid!";"Campaña no válida";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"Tipo de transacción no valida";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"No se puede reconocer el grupo de comisión de grupo para este usuario";"S";"";"T";"N"
"Error getting commission settings!";"Error para encontrar la configuración de comisión";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"Error, para calcular el porcentaje de comisión, tiene que definir el costo total";"S";"";"T";"N"
"You cannot delete default campaign";"No puede eliminar la campaña predeterminada";"S";"";"T";"N"
"Default";"Predeterminada";"B";"";"T";"N"
"per sale / lead";"por venta / candidato";"B";"";"T";"N"
"CampaignsImportExportDescription";"Descripción de la campaña y monto de comisión";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"loadCommissionGroups: ID de campaña está en blanco";"S";"";"T";"N"
"Campaign ID cannot be empty!";"ID de campaña no puede estar en blanco";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"El CommissionTypeId (Id) no puede estar en blanco";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"CommissionGroupId no puede estar en blanco";"S";"";"T";"N"
"Commission type does not exist";"Este tipo de comisión no existe";"S";"";"T";"N"
"Commissions saved successfully";"Las comisiones se guardaron";"S";"";"T";"N"
"Field 'type' does not exist";"El campo 'tipo' no existe";"S";"";"T";"N"
"Failed to change status";"Error al cambiar el estado";"S";"";"T";"N"
"Status successfully changed";"Estado cambiado  ";"S";"";"T";"N"
"CommissionsImportExportDescription";"Comisiones (transacciones, órdenes) registradas en el sistema";"B";"";"T";"N"
"Affiliate screen";"Pantalla del afiliado";"S";"";"T";"N"
"Affiliate panel menu saved";"Menú guardado";"S";"";"T";"N"
"Error changing default theme";"Error al cambiar el tema predeterminado";"S";"";"T";"N"
"Default theme changed";"Tema predeterminado guardado";"S";"";"T";"N"
"Program name and logo saved";"Nombre del programa y logo guardado";"S";"";"T";"N"
"Affiliate signup settings saved";"La configuración de Registro guardada";"S";"";"T";"N"
"Banner format successfully saved";"El formato del banner fue guardado";"S";"";"T";"N"
"Cookies settings saved";"Configuración de cookies guardada";"S";"";"T";"N"
"Symbol";"Símbolo";"B";"";"T";"N"
"Precision";"Precisión";"B";"";"T";"N"
"Where to display";"Donde mostrar";"B";"";"T";"N"
"Exchange rate";"Tipo de cambio ";"S";"";"T";"N"
"Currency";"Divisa ";"B";"";"T";"N"
"Fraud protections saved";"Protección contra fraude guardada";"S";"";"T";"N"
"Logging saved";"Logging guardado";"S";"";"T";"N"
"Parameter names saved";"Parámetro nombres guardado";"S";"";"T";"N"
"Tracking saved";"Seguimiento guardado";"S";"";"T";"N"
"Affiliates successfully paid";"Los afiliados fueron pagados";"S";"";"T";"N"
"Email";"Email";"B";"";"T";"N"
"VAT";"IVA";"S";"";"T";"N"
"To pay";"A pagar";"S";"";"T";"N"
