"source";"translation";"type";"module";"status";"customer"
"Docking";"Docking";"S";"";"T";"N"
"Gadgets saved";"Gadget gespeichert";"S";"";"T";"N"
"Create Account";"Konto anlegen";"B";"";"T";"N"
"Create Database";"Datenbank anlegen";"B";"";"T";"N"
"Could not create database. %s";"Datenbank konnte nicht angelegt werden. %s";"S";"";"T";"N"
"doesnt exist's";"existiert nicht";"S";"";"T";"N"
"Internal error";"interner Fehler";"B";"";"T";"N"
"Error during database creation.";"Fehler beim Anlegen der Datenbank.";"S";"";"T";"N"
"OK";"OK";"B";"";"T";"N"
"Failed to read headers of CSF file %s";"Fehler beim Lesen der Kopfzeilen der CSF-Datei %s";"S";"";"T";"N"
"Could not change permissions %s";"Zugriffsberechtigungen konnten nicht geändert werden %s";"S";"";"T";"N"
"Could not open file";"Datei konnte nicht geöffnet werden";"S";"";"T";"N"
"Could not read file";"Datei konnte nicht gelesen werden";"S";"";"T";"N"
"Rewind unsupported in this file stream";"Rewind wird in diesem File Stream nicht unterstützt";"S";"";"T";"N"
"File %s does not exist.";"Datei %s existiert nicht.";"S";"";"T";"N"
"Failed to read file %s";"Datei  %s konnte nicht gelesen werden";"S";"";"T";"N"
"Could not create directory %s";"Verzeichnis %s konnte nicht erstellt werden ";"S";"";"T";"N"
"Level";"Ebene";"S";"";"T";"N"
"Message";"Nachricht";"B";"";"T";"N"
"File";"Datei";"S";"";"T";"N"
"Line";"Zeile";"B";"";"T";"N"
"Group ID";"Gruppen-ID";"B";"";"T";"N"
"Log event";"Ereignisprotokoll";"S";"";"T";"N"
"Event(s) are deleted";"Ereignis(se) werden gelöscht";"S";"";"T";"N"
"No event(s) to delete";"Kein(e) Ereignis(se) zum Löschen vorhanden";"S";"";"T";"N"
"Debug event(s) are deleted";"Debug-Ereignisse werden gelöscht";"S";"";"T";"N"
"No debug event(s) to delete";"Keine Debug-Ereignisse zum Löschen vorhanden";"S";"";"T";"N"
"Mail Account Name";"Name des E-Mail-Kontos";"S";"";"T";"N"
"From Name";"Name des Absenders";"B";"";"T";"N"
"From Email";"E-Mail-Adresse des Absenders";"S";"";"T";"N"
