"source";"translation";"type";"module";"status";"customer"
"Affiliates successfully paid";"Выплата партнерам произведена успешно";"S";"";"T";"N"
"Email";"email";"B";"";"T";"N"
"VAT";"НДС";"S";"";"T";"N"
"To pay";"Оплатить";"S";"";"T";"N"
"Declined";"Отклонено";"B";"";"T";"N"
"Minimum payout";"Минимальная выплата";"S";"";"T";"N"
"Payout data";"Данные выплаты";"B";"";"T";"N"
"N/A";"Н/д";"S";"";"T";"N"
"New payout option";"Новый способ выплат";"S";"";"T";"N"
"New payout option %s";"Новый способ выплат %s";"S";"";"T";"N"
"Payout option";"Способ выплат";"B";"";"T";"N"
"Payout history";"История выплат";"B";"";"T";"N"
"Date paid";"Дата оплаты";"S";"";"T";"N"
"Payees";"Получатели";"S";"";"T";"N"
"Total amount";"Общая сумма";"S";"";"T";"N"
"Affiliate note";"Заметка партнера";"B";"";"T";"N"
"Date";"Дата";"B";"";"T";"N"
"Data 1";"Данные 1";"B";"";"T";"N"
"Data 2";"Данные 2";"B";"";"T";"N"
"Clicks unique";"Уникальные клики";"S";"";"T";"N"
"Impressions unique";"Уникальные показы";"S";"";"T";"N"
"Table name";"Таблица";"S";"";"T";"N"
"Records";"Записи";"S";"";"T";"N"
"Total size";"Общий размер";"S";"";"T";"N"
"Data size";"Размер данных";"S";"";"T";"N"
"Index size";"Размер индекса";"S";"";"T";"N"
"Transaction";"Транзакция";"B";"";"T";"N"
"Payout status";"Статус выплат";"B";"";"T";"N"
"Data 3";"Данные 3";"B";"";"T";"N"
"Data 4";"Данные 4";"B";"";"T";"N"
"Data 5";"Данные 5";"B";"";"T";"N"
"Tracked by";"Отслежено с помощью";"B";"";"T";"N"
"Time";"Время";"B";"";"T";"N"
"Click data 1";"Данные клика 1";"B";"";"T";"N"
"Click data 2";"Данные клика 2";"B";"";"T";"N"
"unpaid";"Не оплачено";"B";"";"T";"N"
"Username must be valid email address";"Именем пользователя должен быть действительный адрес электронной почты";"S";"";"T";"N"
"You have to agree with terms & conditions";"Вы должны принять Условия и положения";"B";"";"T";"N"
"is mandatory";"обязателен";"B";"";"T";"N"
"Payout settings saved";"Настройки выплат сохранены";"S";"";"T";"N"
"Affiliate details";"Подробная информация об партнере";"B";"";"T";"N"
"Date joined";"Дата регистрации";"B";"";"T";"N"
"Date approved";"Дата одобрения";"B";"";"T";"N"
"Parent";"Родитель";"S";"";"T";"N"
"Firstname";"Имя";"B";"";"T";"N"
"Lastname";"Фамилия";"B";"";"T";"N"
"Parent ID";"ID родителя";"S";"";"T";"N"
"Parent username";"Имя пользователя родителя";"S";"";"T";"N"
"Parent first name";"Имя родителя";"S";"";"T";"N"
"Parent last name";"Фамилия родителя";"S";"";"T";"N"
"AffiliatesImportExportDescription";"Данные о партнерах - вы можете загрузить информацию о новых партнерах в систему";"B";"";"T";"N"
"Status successfully set to selected url(s)";"Статус выбранным URL-адресам присвоен";"S";"";"T";"N"
"Failed to set status selected url(s)";"Не удалось присвоить статус выбранным URL-адресам";"S";"";"T";"N"
"Commission group";"группа комиссий";"B";"";"T";"N"
"Selected commission group(s) are changed";"Выбранные группы комиссий изменены";"S";"";"T";"N"
"Changes saved";"Изменения сохранены";"S";"";"T";"N"
"Application Name";"Название приложения";"S";"";"T";"N"
"New password URL";"URL-адрес для получения нового пароля";"S";"";"T";"N"
"Request valid until";"Запрос действителен до";"S";"";"T";"N"
"Request new password";"Запросить новый пароль";"B";"";"T";"N"
"Wrong username/password";"Неправильное имя пользователя или пароль";"S";"";"T";"N"
"Select account";"Выберите учетную запись";"B";"";"T";"N"
"Authentication failed";"Вход в систему не произведен";"S";"";"T";"N"
"User authenticated. Logging in.";"Пользователь аутентифицирован. Идет подключение.";"S";"";"T";"N"
"You entered invalid username";"Вы ввели недействительное имя пользователя";"S";"";"T";"N"
"Within a few minutes you will receive instructions on how to reset your password.";"В течение нескольких минут вы получите на электронную почту сообщение с инструкцией о смене пароля.";"S";"";"T";"N"
"Your password was changed. Go back to login dialog and login.";"Ваш пароль изменен. Вернитесь к окну входа в систему и произведите вход.";"S";"";"T";"N"
"Logout error";"Ошибка выхода";"S";"";"T";"N"
"Logout successful";"Вы вышли";"S";"";"T";"N"
"Invalid password request. You have to request again new password before trying to set password.";"Недействительный запрос пароля. Вам нужно запросить новый пароль снова, и только потом попытаться установить пароль.";"S";"";"T";"N"
"User account not approved yet";"Учетная запись пользователя еще не одобрена";"S";"";"T";"N"
"Unsupported";"Не поддерживается";"S";"";"T";"N"
"Import file is not defined";"Не указан файл для импорта";"S";"";"T";"N"
"Export data";"Данные для экспорта";"B";"";"T";"N"
"Data was successfully exported to file %s";"Данные успешно экспортированы в файл %s";"S";"";"T";"N"
"File name";"Название файла";"B";"";"T";"N"
"Modules";"Модули";"S";"";"T";"N"
"Size";"Размер";"S";"";"T";"N"
"Could not create account. (%s)";"Не удается создать учетную запись. (%s)";"S";"";"T";"N"
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Пользователь сервера не имеет прав на запись в директорию %s. Пожалуйста, удалите ее или установите права на запись.";"S";"";"T";"N"
"Failed to delete %s filter(s)";"Не удалось удалить фильтр(ы) %s";"S";"";"T";"N"
"%s filter(s) successfully deleted";"Фильтр(ы) %s успешно удалены";"S";"";"T";"N"
"Failed to load default mail account. Please check your mail account settings.";"Не удалось загрузить основную учетную запись электронной почты.";"S";"";"T";"N"
"View name must be unique";"Отображаемое имя должно быть уникальным";"S";"";"T";"N"
"Maximum length of %s in %s is %s";"Максимальная длина %s в %s - %s";"S";"";"T";"N"
"Relation constraint";"Ограничение отношений";"S";"";"T";"N"
"must be unique";"должно быть уникальным";"S";"";"T";"N"
"Error changing theme";"Ошибка при изменении темы";"S";"";"T";"N"
"Theme changed";"Тема изменена";"S";"";"T";"N"
"Failed to delete %s wallpaper(s)";"Не удалось удалить обои %s";"S";"";"T";"N"
"%s wallpaper(s) successfully deleted";"Обои %s успешно удалены";"S";"";"T";"N"
"Failed to save wallpaper with error %s";"Не удалось сохранить обои, ошибка %s";"S";"";"T";"N"
"Wallpaper saved.";"Обои сохранены.";"S";"";"T";"N"
"Side bar saved";"Боковая панель сохранена";"S";"";"T";"N"
"Windows saved";"Окна сохранены";"S";"";"T";"N"
"Quick Launch saved";"Быстрый запуск сохранен";"S";"";"T";"N"
"File does not exist";"Файл не существует";"S";"";"T";"N"
"File was successfully uploaded";"Файл успешно закачан на сервер";"S";"";"T";"N"
"Unsupported gadget";"Неподдерживаемый гаджет";"S";"";"T";"N"
"Gadget";"Гаджет";"B";"";"T";"N"
"Gadget added";"Гаджет добавлен";"S";"";"T";"N"
"Failed to close gadget";"Не удалось закрыть гаджет";"S";"";"T";"N"
"Gadget successfully closed";"Гаджет закрыт";"S";"";"T";"N"
"Docking";"Фиксация";"S";"";"T";"N"
"Gadgets saved";"Гаджеты сохранены";"S";"";"T";"N"
"Create Account";"Создать учетную запись";"B";"";"T";"N"
"Create Database";"Создать базу данных";"B";"";"T";"N"
"Could not create database. %s";"Не удается создать базу данных. %s";"S";"";"T";"N"
"doesnt exist's";"не существует";"S";"";"T";"N"
"Internal error";"Внутренняя ошибка";"B";"";"T";"N"
"Error during database creation.";"Ошибка при создании базы данных.";"S";"";"T";"N"
"OK";"OK";"B";"";"T";"N"
"Failed to read headers of CSF file %s";"Не удается прочитать заголовки CSF файла %s";"S";"";"T";"N"
"Could not change permissions %s";"Не удалось изменить разрешения %s";"S";"";"T";"N"
"Could not open file";"Не удалось открыть файл";"S";"";"T";"N"
"Could not read file";"Не удалось прочитать файл";"S";"";"T";"N"
"Rewind unsupported in this file stream";"Перемотка назад не поддерживается в этом файле потока";"S";"";"T";"N"
"File %s does not exist.";"Файл %s не существует.";"S";"";"T";"N"
"Failed to read file %s";"Не удалось прочитать файл %s";"S";"";"T";"N"
"Could not create directory %s";"Не удалось создать директорию %s";"S";"";"T";"N"
"Level";"Уровень";"S";"";"T";"N"
"Message";"Сообщение";"B";"";"T";"N"
"File";"Файл";"S";"";"T";"N"
"Line";"Строка";"B";"";"T";"N"
"Group ID";"ID группы";"B";"";"T";"N"
"Log event";"Зарегистрировать событие";"S";"";"T";"N"
"Event(s) are deleted";"События удалены";"S";"";"T";"N"
"No event(s) to delete";"Нет событий для удаления";"S";"";"T";"N"
