"source";"translation";"type";"module";"status";"customer"
"User account not approved yet";"使用者帳戶還沒有被認證";"S";"";"T";"N"
"Unsupported";"不被支持";"S";"";"T";"N"
"Import file is not defined";"導入的檔沒有被定義";"S";"";"T";"N"
"Export data";"輸出資料(Data)";"B";"";"T";"N"
"Data was successfully exported to file %s";"資料(Data)已經被成功地輸出到檔%s";"S";"";"T";"N"
"File name";"檔案名";"B";"";"T";"N"
"Modules";"模組";"S";"";"T";"N"
"Size";"大小";"S";"";"T";"N"
"Could not create account. (%s)";"不能建立帳戶。(%s)";"S";"";"T";"N"
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"目錄%s不能被伺服器用戶寫入。請將之移除或設置可寫許可權。";"S";"";"T";"N"
"Failed to delete %s filter(s)";"刪除%s篩選器失敗";"S";"";"T";"N"
"%s filter(s) successfully deleted";"%s篩選器被成功刪除";"S";"";"T";"N"
"Failed to load default mail account. Please check your mail account settings.";"載入默認郵件帳戶失敗。請檢查您的郵件帳戶設置。";"S";"";"T";"N"
"View name must be unique";"視圖名稱必須是唯一的";"S";"";"T";"N"
"Maximum length of %s in %s is %s";"%s在%s中的最大長度是%s";"S";"";"T";"N"
"Relation constraint";"關係約束";"S";"";"T";"N"
"must be unique";"必須是唯一的";"S";"";"T";"N"
"Error changing theme";"改變主題錯誤";"S";"";"T";"N"
"Theme changed";"主題已改變";"S";"";"T";"N"
"Failed to delete %s wallpaper(s)";"刪除壁紙%s失敗";"S";"";"T";"N"
"%s wallpaper(s) successfully deleted";"%s壁紙已經被成功刪除";"S";"";"T";"N"
"Failed to save wallpaper with error %s";"由於%s錯誤導致牆紙保存失敗";"S";"";"T";"N"
"Wallpaper saved.";"牆紙已保存.";"S";"";"T";"N"
"Side bar saved";"側邊欄已保存";"S";"";"T";"N"
"Windows saved";"窗口已保存";"S";"";"T";"N"
"Quick Launch saved";"快速啟動已保存";"S";"";"T";"N"
"File does not exist";"文件不存在";"S";"";"T";"N"
"File was successfully uploaded";"檔已成功上傳";"S";"";"T";"N"
"Unsupported gadget";"不支持Gadget";"S";"";"T";"N"
"Gadget";"Gadget";"B";"";"N";"N"
"Gadget added";"Gadget已安裝";"S";"";"T";"N"
"Failed to close gadget";"關閉Gadget失敗";"S";"";"T";"N"
"Gadget successfully closed";"已成功關閉Gadget";"S";"";"T";"N"
"Docking";"對接";"S";"";"T";"N"
"Gadgets saved";"Gadget已保存";"S";"";"T";"N"
"Create Account";"建立帳戶";"B";"";"T";"N"
"Create Database";"建立資料(Data)庫";"B";"";"T";"N"
"Could not create database. %s";"不能建立資料(Data)庫。%s";"S";"";"T";"N"
"doesnt exist's";"沒有存在";"S";"";"T";"N"
"Internal error";"內部錯誤";"S";"";"T";"N"
"Error during database creation.";"在建立資料(Data)庫期間發生錯誤。";"S";"";"T";"N"
"OK";"OK";"B";"";"N";"N"
"Failed to read headers of CSF file %s";"讀取CSF檔%s的標題部分失敗";"S";"";"T";"N"
"Could not change permissions %s";"不能改變%s的許可權";"S";"";"T";"N"
"Could not open file";"不能打開檔";"S";"";"T";"N"
"Could not read file";"不能讀取檔";"S";"";"T";"N"
"Rewind unsupported in this file stream";"在這個檔流中的回繞不被支持";"S";"";"T";"N"
"File %s does not exist.";"文件%s不存在。";"S";"";"T";"N"
"Failed to read file %s";"讀取檔%s失敗";"S";"";"T";"N"
"Could not create directory %s";"不能建立%s目錄";"S";"";"T";"N"
"Level";"級別";"S";"";"T";"N"
"Message";"信息";"B";"";"T";"N"
"File";"文件";"S";"";"T";"N"
"Line";"行";"B";"";"T";"N"
"Group ID";"組ID";"B";"";"T";"N"
"Log event";"日誌事件";"S";"";"T";"N"
"Event(s) are deleted";"事件不能刪除";"S";"";"T";"N"
"No event(s) to delete";"沒有事件可以被刪除";"S";"";"T";"N"
"Debug event(s) are deleted";"調試事件被刪除";"S";"";"T";"N"
"No debug event(s) to delete";"沒有調試事件可以被刪除";"S";"";"T";"N"
"Mail Account Name";"郵件帳戶名稱";"S";"";"T";"N"
"From Name";"發送方姓名";"B";"";"T";"N"
"From Email";"發送方郵件";"S";"";"T";"N"
"Use SMTP protocol";"使用SMTP協定";"S";"";"T";"N"
"SMTP Server";"SMTP伺服器";"B";"";"T";"N"
"SMTP Port";"SMTP埠";"B";"";"T";"N"
"SMTP Authentication";"SMTP鑒定";"S";"";"T";"N"
"Use SSL connection";"使用SSL安全連接";"S";"";"T";"N"
"SMTP Username";"SMTP用戶名";"S";"";"T";"N"
"Is default mail account";"是默認的郵件帳戶";"S";"";"T";"N"
"Yes";"Yes";"B";"";"N";"N"
"No";"No";"B";"";"N";"N"
"Email account test mail";"郵件帳戶測試郵件";"B";"";"T";"N"
"Default Mail Account";"默認的郵件帳戶";"S";"";"T";"N"
"Email settings saved";"郵件設置已保存";"S";"";"T";"N"
"Test mail scheduled, check outbox if it was sent.";"測試預訂的郵件，檢查寄件匣是否已發送。";"S";"";"T";"N"
"Mail outbox";"郵件發送箱";"B";"";"T";"N"
"Failed to restart %s row(s)";"從新開始%s行失敗";"S";"";"T";"N"
"%s row(s) successfully restarted";"%s行成功重啟";"S";"";"T";"N"
"To recipients";"至接受者";"S";"";"T";"N"
"Mail subject";"郵件主題";"S";"";"T";"N"
"Scheduled at";"定於";"S";"";"T";"N"
"Last retry";"上一次重試";"S";"";"T";"N"
"Retry number";"重試號碼";"S";"";"T";"N"
"Error message";"錯誤資訊";"S";"";"T";"N"
"Account name";"帳戶名稱";"B";"";"T";"N"
"Server Date";"伺服器日期";"S";"";"T";"N"
"Server Time";"伺服器時間";"S";"";"T";"N"
"Mail template not defined in database for class %s";"對於分類%s，郵件範本不能在資料(Data)庫中定義";"S";"";"T";"N"
"Recipients empty";"接受者為空";"S";"";"T";"N"
"Body of mail not specified";"沒有指定郵件主體";"S";"";"T";"N"
"From address is empty";"發送方郵寄地址為空";"S";"";"T";"N"
"Failed to init mail headers";"初始化郵件標題部分失敗";"S";"";"T";"N"
"Email transfer method error";"郵件傳輸方式錯誤";"S";"";"T";"N"
"Application Title";"應用程式標題";"S";"";"T";"N"
"Failed to save settings with error %s";"保存設置失敗因為錯誤%s";"S";"";"T";"N"
"Proxy server settings saved.";"代理伺服器設置已保存。";"S";"";"T";"N"
"Failed to load proxy server settings.";"載入代理伺服器設置失敗。";"S";"";"T";"N"
