"source";"translation";"type";"module";"status";"customer"
"Banner format successfully saved";"Banner formaat opgeslagen";"S";"";"T";"N"
"Cookies settings saved";"Cookies instellingen opgeslagen";"S";"";"T";"N"
"Symbol";"Symbool";"B";"";"T";"N"
"Precision";"Nauwkeurigheid";"B";"";"T";"N"
"Where to display";"Waar tonen";"B";"";"T";"N"
"Exchange rate";"Wisselkoers";"S";"";"T";"N"
"Currency";"Valuta";"B";"";"T";"N"
"Fraud protections saved";"Fraude bescherming opgeslagen";"S";"";"T";"N"
"Logging saved";"Logboekregistratie opgeslagen";"S";"";"T";"N"
"Parameter names saved";"Parameter naam opgeslagen";"S";"";"T";"N"
"Tracking saved";"Tracking opgeslagen";"S";"";"T";"N"
"Affiliates successfully paid";"Partner succesvol betaald";"S";"";"T";"N"
"Email";"Emailadres";"B";"";"T";"N"
"VAT";"BTW";"S";"";"T";"N"
"To pay";"Te betalen";"S";"";"T";"N"
"Declined";"Afgewezen";"B";"";"T";"N"
"Minimum payout";"Minimale uitbetaling";"S";"";"T";"N"
"Payout data";"Uitbetaalgegevens";"B";"";"T";"N"
"N/A";"N/A";"S";"";"T";"N"
"New payout option";"Nieuwe betaallimiet optie";"S";"";"T";"N"
"New payout option %s";"Nieuwe betaallimiet optie %s";"S";"";"T";"N"
"Payout option";"Uitbetaaloptie";"B";"";"T";"N"
"Payout history";"Uitbetaalgeschiedenis";"B";"";"T";"N"
"Date paid";"Datum betaald";"S";"";"T";"N"
"Payees";"Ontvanger";"S";"";"T";"N"
"Total amount";"Totaalbedrag";"S";"";"T";"N"
"Affiliate note";"Partner notitie";"B";"";"T";"N"
"Date";"Datum";"B";"";"T";"N"
"Data 1";"Data 1";"B";"";"T";"N"
"Data 2";"Data 2";"B";"";"T";"N"
"Clicks unique";"Unieke klikken";"S";"";"T";"N"
"Impressions unique";"Impressies unieke";"S";"";"T";"N"
"Table name";"Tabelnaam";"S";"";"T";"N"
"Records";"Records";"S";"";"T";"N"
"Total size";"Totale grootte";"S";"";"T";"N"
"Data size";"Data formaat";"S";"";"T";"N"
"Index size";"Grootte van de index";"S";"";"T";"N"
"Transaction";"Transactie";"B";"";"T";"N"
"Payout status";"Uitbetaalstatus";"B";"";"T";"N"
